iteration,body_id,name,mass,x,y,z,vx,vy,vz
26,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.9513,-3.79754,-7.52334
27,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52593,2.11205,-5.18115
27,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20727,-3.30615,-5.81132
27,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95128,-3.79801,-7.52347
28,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52601,2.11199,-5.18099
28,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20719,-3.30607,-5.81147
28,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95125,-3.79849,-7.5236
29,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52609,2.11193,-5.18083
29,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20711,-3.30599,-5.81161
29,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95123,-3.79897,-7.52373
30,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52617,2.11187,-5.18066
30,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20704,-3.30591,-5.81176
30,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.9512,-3.79945,-7.52385
31,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52625,2.1118,-5.1805
31,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20696,-3.30583,-5.81191
31,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95118,-3.79992,-7.52398
